image_url,threadNum,annotation,accepted
images/C0150302_r2_w4_2020-04-03_07-58-28.jpg,2,,False
images/C0150302_r2_w4_2020-04-16_07-46-28.jpg,2,,False
images/C0150302_r3_w0_2020-03-01_01-58-28.jpg,2,,False
images/C0150302_r3_w0_2020-03-07_07-58-28.jpg,2,,False
images/C0150302_r3_w0_2020-03-18_01-58-28.jpg,2,,False
images/C0150302_r3_w0_2020-03-19_01-58-28.jpg,2,,False
images/C0150302_r3_w0_2020-04-29_13-55-46.jpg,2,,False
images/C0150302_r3_w4_2020-03-01_07-58-28.jpg,2,,False
images/C0150302_r3_w4_2020-04-15_01-58-28.jpg,2,,False
images/C0150302_r5_w5_2020-04-03_01-58-28.jpg,2,,False
images/C0150302_r6_w0_2020-03-22_01-58-28.jpg,2,,False
images/C0150302_r6_w0_2020-04-17_01-58-28.jpg,2,,False
images/C0150302_r7_w0_2020-02-29_13-58-28.jpg,2,,False
images/C0150302_r7_w0_2020-03-08_07-58-28.jpg,2,,False
images/C0150302_r7_w0_2020-03-21_19-58-28.jpg,2,,False
images/C0150309_r0_w0_2020-02-23_17-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_08-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_09-35-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_13-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_16-11-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_18-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-24_23-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_04-23-12.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_08-10-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_08-46-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_09-10-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_09-34-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_11-34-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_16-10-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-25_17-34-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-26_08-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-26_11-46-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-26_15-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-26_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-27_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-27_07-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-27_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-27_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-28_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-28_07-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-28_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-28_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-02-29_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-02_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-02_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-06_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-07_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-08_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-09_07-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-12_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-13_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-13_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-14_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-14_07-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-14_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-14_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-15_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-15_07-58-15.jpg,2,,False
images/C0150309_r0_w0_2020-03-15_13-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-16_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-17_01-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-17_07-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-17_19-58-14.jpg,2,,False
images/C0150309_r0_w0_2020-03-18_07-58-14.jpg,2,,False
