image_url,annotation,Category
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: [{height:14,label:'Car',left:346,top:171,width:23},{height:15,label:'Car',left:147,top:165,width:18},{height:11,label:'Car',left:97,top:139,width:15},{height:10,label:'Car',left:110,top:134,width:12},{height:6,label:'Car',left:87,top:111,width:7},{height:6,label:'Car',left:109,top:110,width:7}]},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: [{height:14,label:'Car',left:346,top:171,width:23},{height:15,label:'Car',left:147,top:165,width:18},{height:11,label:'Car',left:97,top:139,width:15},{height:10,label:'Car',left:110,top:134,width:12},{height:6,label:'Car',left:87,top:111,width:7},{height:6,label:'Car',left:109,top:110,width:7}]},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: [{height:14,label:'Car',left:346,top:171,width:23},{height:15,label:'Car',left:147,top:165,width:18},{height:11,label:'Car',left:97,top:139,width:15},{height:10,label:'Car',left:110,top:134,width:12},{height:6,label:'Car',left:87,top:111,width:7},{height:6,label:'Car',left:109,top:110,width:7}]},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: [{height:14,label:'Car',left:346,top:171,width:23},{height:15,label:'Car',left:147,top:165,width:18},{height:11,label:'Car',left:97,top:139,width:15},{height:10,label:'Car',left:110,top:134,width:12},{height:6,label:'Car',left:87,top:111,width:7},{height:6,label:'Car',left:109,top:110,width:7}]},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r3_w4_2020-03-04_13-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: [{height:14,label:'Car',left:346,top:171,width:23},{height:15,label:'Car',left:147,top:165,width:18},{height:11,label:'Car',left:97,top:139,width:15},{height:10,label:'Car',left:110,top:134,width:12},{height:6,label:'Car',left:87,top:111,width:7},{height:6,label:'Car',left:109,top:110,width:7}]},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: []},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: []},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: []},}",-1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: []},}",1.0
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0150200_r0_w0_2020-04-04_01-54-08.jpg,"{'boundingBox': {labels: ['Car', 'Van', 'Truck', 'Trailer', 'Bus', 'Motorbike', 'Bicycle', 'Heavy Equipment', 'Car Trailer', 'Tractor', 'Pedestrian'], value: []},}",1.0
