image_url,image_annotation
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353701_r1_w1_2020-04-20_19-58-00.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-03_01-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-27_19-55-09.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-03-11_01-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353701_r2_w0_2020-03-17_19-58-00.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r0_w0_2020-03-17_07-55-59.jpg,"[{""height"":30,""label"":""Car"",""left"":485,""top"":27,""width"":42},{""height"":16,""label"":""Van"",""left"":497,""top"":12,""width"":42}]"
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-28_01-55-09.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-03_07-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-03-11_07-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353701_r2_w0_2020-03-18_01-58-00.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-03-12_07-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-28_07-55-09.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r0_w0_2020-03-17_13-55-59.jpg,"[{""height"":54,""label"":""Car"",""left"":468,""top"":111,""width"":55},{""height"":235,""label"":""Truck"",""left"":212,""top"":335,""width"":231}]"
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-28_13-55-09.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-03-19_07-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-03_13-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353701_r2_w0_2020-03-20_07-58-00.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-08_01-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r0_w0_2020-03-18_13-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-04-01_01-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r0_w0_2020-03-20_07-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-12_19-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353602_r3_w0_2020-04-01_19-55-59.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-28_19-55-09.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353702_r3_w0_2020-04-13_01-57-49.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353701_r2_w0_2020-03-24_07-58-00.jpg,[]
https://reconai-traffic.s3.eu-central-1.amazonaws.com/images/C0353802_r0_w0_2020-03-29_01-55-09.jpg,[]
